1000 , 26 , 1 
2000 , 6 , 8 
3000 , 4 , 14 
4000 , 6 , 24 
5000 , 6 , 37 
6000 , 7 , 49 
7000 , 9 , 72 
8000 , 9 , 94 
9000 , 10 , 111 
10000 , 12 , 135 
11000 , 13 , 163 
12000 , 13 , 191 
13000 , 16 , 220 
14000 , 15 , 262 
15000 , 18 , 293 
16000 , 19 , 319 
17000 , 19 , 354 
18000 , 24 , 395 
19000 , 25 , 447 
20000 , 28 , 495 
21000 , 28 , 536 
22000 , 30 , 584 
23000 , 30 , 643 
24000 , 32 , 700 
25000 , 34 , 748 
26000 , 34 , 807 
27000 , 46 , 873 
28000 , 33 , 930 
29000 , 35 , 998 
30000 , 38 , 1059 
31000 , 37 , 1149 
32000 , 39 , 1219 
33000 , 38 , 1298 
34000 , 49 , 1377 
35000 , 45 , 1445 
36000 , 45 , 1508 
37000 , 45 , 1576 
38000 , 45 , 1658 
39000 , 47 , 1745 
40000 , 51 , 1811 
41000 , 49 , 1876 
42000 , 50 , 1947 
43000 , 56 , 2038 
44000 , 53 , 2134 
45000 , 54 , 2242 
46000 , 55 , 2337 
47000 , 58 , 2424 
48000 , 60 , 2514 
49000 , 62 , 2613 
50000 , 65 , 2707 
51000 , 62 , 2791 
52000 , 61 , 2875 
53000 , 67 , 2976 
54000 , 66 , 3082 
55000 , 65 , 3194 
56000 , 68 , 3300 
57000 , 74 , 3401 
58000 , 72 , 3515 
59000 , 72 , 3633 
60000 , 74 , 3743 
61000 , 77 , 3857 
62000 , 81 , 3985 
63000 , 79 , 4102 
64000 , 80 , 4227 
65000 , 78 , 4347 
66000 , 79 , 4476 
67000 , 89 , 4591 
68000 , 82 , 4702 
69000 , 84 , 4824 
70000 , 85 , 4959 
71000 , 84 , 5096 
72000 , 93 , 5250 
73000 , 88 , 5386 
74000 , 90 , 5509 
75000 , 101 , 5642 
76000 , 95 , 5753 
77000 , 90 , 5882 
78000 , 107 , 6014 
79000 , 95 , 6139 
80000 , 98 , 6268 
81000 , 96 , 6390 
82000 , 98 , 6536 
83000 , 106 , 6657 
84000 , 101 , 6798 
85000 , 105 , 6929 
86000 , 113 , 7080 
87000 , 106 , 7235 
88000 , 107 , 7370 
89000 , 123 , 7516 
90000 , 114 , 7672 
91000 , 108 , 7830 
92000 , 118 , 7973 
93000 , 111 , 8132 
94000 , 115 , 8287 
95000 , 119 , 8438 
96000 , 115 , 8581 
97000 , 118 , 8725 
98000 , 133 , 8860 
99000 , 121 , 9003 
100000 , 134 , 9145 
101000 , 126 , 9282 
102000 , 129 , 9428 
103000 , 121 , 9578 
104000 , 125 , 9733 
105000 , 134 , 9881 
106000 , 134 , 10013 
107000 , 144 , 10171 
108000 , 137 , 10323 
109000 , 140 , 10476 
110000 , 136 , 10619 
111000 , 140 , 10779 
112000 , 140 , 10928 
113000 , 158 , 11073 
114000 , 136 , 11226 
115000 , 146 , 11384 
116000 , 140 , 11526 
117000 , 150 , 11693 
118000 , 143 , 11831 
119000 , 154 , 12006 
120000 , 149 , 12171 
121000 , 151 , 12318 
122000 , 150 , 12480 
123000 , 156 , 12645 
124000 , 148 , 12798 
125000 , 165 , 12963 
126000 , 173 , 13130 
127000 , 174 , 13299 
128000 , 159 , 13453 
129000 , 179 , 13622 
130000 , 181 , 13773 
131000 , 168 , 13920 
132000 , 177 , 14092 
133000 , 183 , 14261 
134000 , 184 , 14424 
135000 , 182 , 14581 
136000 , 183 , 14760 
137000 , 170 , 14938 
138000 , 189 , 15108 
139000 , 169 , 15274 
140000 , 178 , 15430 
